AI Verdict (unanimous),Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
No,vendor_only,CVE-2023-4092,2023-09-19,"SQL injection vulnerability in Arconte Áurea, in its 1.5.0.0 version. The exploitation of this vulnerability could allow an attacker to read sensitive data from the database, modify data (insert/update/delete), perform database administration operations and, in some cases, execute commands on the operating system.",9.8,3.1,CWE-89,cpe:2.3:a:fujitsu:arconte_aurea:1.5.0.0:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2010-2149,2010-06-03,"Session fixation vulnerability in Fujitsu e-Pares V01 L01, L03, L10, L20, L30 allows remote attackers to hijack web sessions via unspecified vectors.",4.0,2.0,CWE-287,cpe:2.3:a:fujitsu:e-pares:l01:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:l03:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:l10:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:l20:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:l30:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:v01:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2006-2196,2006-06-26,Unspecified vulnerability in pinball 0.3.1 allows local users to gain privileges via unknown attack vectors that cause pinball to load plugins from an attacker-controlled directory while operating at raised privileges.,4.6,2.0,,cpe:2.3:a:jochen_friedrich:pinball:0.3.1:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2026-50031,2026-06-03,"ipmi-oem in FreeIPMI before 1.6.18 has exploitable buffer overflows on response messages. The Intelligent Platform Management Interface (IPMI) specification defines a set of interfaces for platform management. It is implemented by a large number of hardware manufacturers to support system management. It is most commonly used for sensor reading (e.g., CPU temperatures through the ipmi-sensors command within FreeIPMI) and remote power control (the ipmipower command). The ipmi-oem client command implements a set of a IPMI OEM commands for specific hardware vendors. If a user has supported hardware, they may wish to use the ipmi-oem command to send a request to a server to retrieve specific information. Two subcommands ""ipmi-oem dell get-active-directory-config"" and ""ipmi-oem fujitsu get-sel-entry-long-text"" were found to have exploitable buffer overflows on response messages.",7.5,3.1,CWE-121,,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2020-17457,2021-03-17,Fujitsu ServerView Suite iRMC before 9.62F allows XSS. An authenticated attacker can store an XSS payload in the PSCU_FILE_INIT field of a Save Configuration XML document. The payload is triggered in the HTTP error response pages.,5.4,3.1,CWE-79,cpe:2.3:a:fujitsu:serverview_remote_management:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2020-29127,2020-11-30,"An issue was discovered on Fujitsu Eternus Storage DX200 S4 devices through 2020-11-25. After logging into the portal as a root user (using any web browser), the portal can be accessed with root privileges when the URI cgi-bin/csp?cspid={XXXXXXXXXX}&csppage=cgi_PgOverview&csplang=en is visited from a different web browser.",9.8,3.1,CWE-287,cpe:2.3:o:fujitsu:eternus_storage_dx200_s4_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:eternus_storage_dx200_s4:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2024-40925,2024-07-12,"In the Linux kernel, the following vulnerability has been resolved:

block: fix request.queuelist usage in flush

Friedrich Weber reported a kernel crash problem and bisected to commit
81ada09cc25e (""blk-flush: reuse rq queuelist in flush state machine"").

The root cause is that we use ""list_move_tail(&rq->queuelist, pending)""
in the PREFLUSH/POSTFLUSH sequences. But rq->queuelist.next == xxx since
it's popped out from plug->cached_rq in __blk_mq_alloc_requests_batch().
We don't initialize its queuelist just for this first request, although
the queuelist of all later popped requests will be initialized.

Fix it by changing to use ""list_add_tail(&rq->queuelist, pending)"" so
rq->queuelist doesn't need to be initialized. It should be ok since rq
can't be on any list when PREFLUSH or POSTFLUSH, has no move actually.

Please note the commit 81ada09cc25e (""blk-flush: reuse rq queuelist in
flush state machine"") also has another requirement that no drivers would
touch rq->queuelist after blk_mq_end_request() since we will reuse it to
add rq to the post-flush pending list in POSTFLUSH. If this is not true,
we will have to revert that commit IMHO.

This updated version adds ""list_del_init(&rq->queuelist)"" in flush rq
callback since the dm layer may submit request of a weird invalid format
(REQ_FSEQ_PREFLUSH | REQ_FSEQ_POSTFLUSH), which causes double list_add
if without this ""list_del_init(&rq->queuelist)"". The weird invalid format
problem should be fixed in dm layer.",5.5,3.1,,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:6.10:rc1:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:6.10:rc2:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:6.10:rc3:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2013-4786,2013-07-08,"The IPMI 2.0 specification supports RMCP+ Authenticated Key-Exchange Protocol (RAKP) authentication, which allows remote attackers to obtain password hashes and conduct offline password guessing attacks by obtaining the HMAC from a RAKP message 2 response from a BMC.",7.5,3.0,CWE-255,cpe:2.3:o:oracle:fujitsu_m10_firmware:*:*:*:*:*:*:*:*|cpe:2.3:a:intel:intelligent_platform_management_interface:2.0:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2025-63296,2025-11-10,"KERUI K259 5MP Wi-Fi / Tuya Smart Security Camera firmware v33.53.87 contains a code execution vulnerability in its boot/update logic: during startup /usr/sbin/anyka_service.sh scans mounted TF/SD cards and, if /mnt/update.nor.sh is present, copies it to /tmp/net.sh and executes it as root.",6.5,3.1,CWE-77,cpe:2.3:o:keruistore:kerui_k259_firmware:33.53.87:*:*:*:*:*:*:*|cpe:2.3:h:keruistore:kerui_k259:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,vendor_only,CVE-2010-2150,2010-06-03,Cross-site scripting (XSS) vulnerability Fujitsu e-Pares V01 L01 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,4.3,2.0,CWE-79,cpe:2.3:a:fujitsu:e-pares:l01:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:e-pares:v01:*:*:*:*:*:*:*,No,High,,No,High,,No,Low,"Fujitsu e-Pares is a remote maintenance and monitoring tool for various Fujitsu equipment, often used in commercial/enterprise HVAC systems rather than consumer home IoT air conditioners.",,
