AI Verdict (unanimous),Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Human Verdict,Human Notes,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning
No,vendor_only,CVE-2005-4786,2005-12-31,"Buffer overflow in the archive decompression library (vrAZMain.dll 5.8.22.137), as used in HAURI anti-virus products including (1) ViRobot Expert 4.0, (2) ViRobot Advanced Server, and (3) HAURI LiveCall, allows user-assisted attackers to execute arbitrary code via an ALZ archive containing a file with a long filename.",4.0,2.0,,cpe:2.3:a:hauri:hauri_livecall:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:advanced_server:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:expert_4.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:linux_server_2.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:vrazmain.dll:5.8.22.137:*:*:*:*:*:*:*,No,High,"CPE identifies HAURI ViRobot — an antivirus software product. 'ViRobot' matched the robot vacuum search term but this is an antivirus application, not a robot vacuum.",No,,No,High,,No,High,
No,vendor_only,CVE-2008-5547,2008-12-12,"HAURI ViRobot 2008.12.4.1499 and possibly 2008.9.12.1375, when Internet Explorer 6 or 7 is used, allows remote attackers to bypass detection of malware in an HTML document by placing an MZ header (aka ""EXE info"") at the beginning, and modifying the filename to have (1) no extension, (2) a .txt extension, or (3) a .jpg extension, as demonstrated by a document containing a CVE-2006-5745 exploit.",9.3,2.0,CWE-20,cpe:2.3:a:hauri:virobot:2008.9.12.1375:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:2008.12.4.1499:*:*:*:*:*:*:*,No,High,"CPE identifies HAURI ViRobot 2008 antivirus software. Same false positive as CVE-2005-4786: 'ViRobot' is an antivirus brand, not a robot vacuum.",No,,No,High,,No,High,
No,vendor_only,CVE-2022-25989,2022-05-05,An authentication bypass vulnerability exists in the libxm_av.so getpeermac() functionality of Anker Eufy Homebase 2 2.1.8.5h. A specially-crafted DHCP packet can lead to authentication bypass. An attacker can DHCP poison to trigger this vulnerability.,8.8,3.1,CWE-290,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.8.5h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,"CPE identifies Anker Eufy Homebase 2 — a security hub/gateway for Eufy cameras and sensors, not a robot vacuum. Eufy makes robot vacuums but the Homebase 2 is a separate security hub product.",No,,No,High,,No,High,
No,vendor_only,CVE-2023-42470,2023-09-11,"The Imou Life com.mm.android.smartlifeiot application through 6.8.0 for Android allows Remote Code Execution via a crafted intent to an exported component. This relates to the com.mm.android.easy4ip.MainActivity activity. JavaScript execution is enabled in the WebView, and direct web content loading occurs.",9.8,3.1,CWE-94,cpe:2.3:a:imoulife:life:*:*:*:*:*:android:*:*,No,High,"CPE identifies the Imou Life Android application (com.mm.android.smartlifeiot). The vulnerability is in a mobile app, not in a robot vacuum device. Apps that control IoT devices are not themselves the home IoT device.",Yes,software vulnerabilities count,No,High,,No,High,
No,vendor_only,CVE-2017-7240,2017-03-24,"An issue was discovered on Miele Professional PST10 devices. The corresponding embedded webserver ""PST10 WebServer"" typically listens to port 80 and is prone to a directory traversal attack; therefore, an unauthenticated attacker may be able to exploit this issue to access sensitive information to aide in subsequent attacks. A Proof of Concept is GET /../../../../../../../../../../../../etc/shadow HTTP/1.1. This affects PG8527 devices 2.02 before 2.12, PG8527 devices 2.51 before 2.61, PG8527 devices 2.52 before 2.62, PG8527 devices 2.54 before 2.64, PG8528 devices 2.02 before 2.12, PG8528 devices 2.51 before 2.61, PG8528 devices 2.52 before 2.62, PG8528 devices 2.54 before 2.64, PG8535 devices 1.00 before 1.10, PG8535 devices 1.04 before 1.14, PG8536 devices 1.10 before 1.20, and PG8536 devices 1.14 before 1.24.",7.5,3.0,CWE-22,cpe:2.3:o:miele_professional:pst10_webserver:-:*:*:*:*:*:*:*|cpe:2.3:h:miele_professional:pg_8528:-:*:*:*:*:*:*:*,No,High,"CPE identifies Miele Professional PST10 / PG 8528 — a commercial dishwasher with a webserver. The 'miele_professional' CPE prefix confirms this is commercial kitchen equipment, not a home robot vacuum.",No,,No,High,,No,High,
No,vendor_only,CVE-2025-47151,2025-11-05,A type confusion vulnerability exists in the lasso_node_impl_init_from_xml functionality of Entr&#39;ouvert Lasso 2.5.1 and 2.8.2. A specially crafted SAML response can lead to an arbitrary code execution. An attacker can send a malformed SAML response to trigger this vulnerability.,9.8,3.1,CWE-843,cpe:2.3:a:entrouvert:lasso:2.5.1:*:*:*:*:*:*:*|cpe:2.3:a:entrouvert:lasso:2.8.2:*:*:*:*:*:*:*,No,High,CPE identifies Entrouvert Lasso — an open-source SAML/SSO authentication library. A type confusion in an XML parsing routine is unrelated to robot vacuums.,No,,No,High,,No,High,
No,vendor_only,CVE-2022-3589,2022-11-21,"An API Endpoint used by Miele's ""AppWash"" MobileApp in all versions was vulnerable to an authorization bypass. A low privileged, remote attacker would have been able to gain read and partial write access to other users data by modifying a small part of a HTTP request sent to the API. Reading or changing the password of another user was not possible, thus no impact to Availability.",8.1,3.1,CWE-639,cpe:2.3:a:miele:appwash:*:*:*:*:*:*:*:*,No,High,CPE identifies Miele AppWash — Miele's commercial self-service laundromat platform for shared/commercial washing machines. Not a home robot vacuum or home appliance in the residential sense.,No,,No,High,,No,High,
Yes,vendor_only,CVE-2024-42911,2025-01-14,ECOVACS Robotics Deebot T20 OMNI and T20e OMNI before 1.24.0 was discovered to contain a WiFi Remote Code Execution vulnerability.,7.4,3.1,CWE-94,,Yes,High,Description explicitly names ECOVACS Robotics Deebot T20 OMNI and T20e OMNI — consumer home robot vacuums from a major robot vacuum brand. Wi-Fi RCE vulnerability in a residential robot vacuum.,Yes,,Yes,High,,Yes,High,
No,vendor_only,CVE-2017-15361,2017-10-16,"The Infineon RSA library 1.02.013 in Infineon Trusted Platform Module (TPM) firmware, such as versions before 0000000000000422 - 4.34, before 000000000000062b - 6.43, and before 0000000000008521 - 133.33, mishandles RSA key generation, which makes it easier for attackers to defeat various cryptographic protection mechanisms via targeted attacks, aka ROCA. Examples of affected technologies include BitLocker with TPM 1.2, YubiKey 4 (before 4.3.5) PGP key generation, and the Cached User Data encryption feature in Chrome OS.",5.9,3.0,,cpe:2.3:o:infineon:trusted_platform_firmware:4.31:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:4.32:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:6.40:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:133.32:*:*:*:*:*:*:*|cpe:2.3:h:acer:c720_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebase:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebase_24:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c730:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c730e:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c735:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c740:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c771:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c771t:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_n7_c731:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_13_cb5-311:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_14_cb3-431:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_14_for_work_cp5-471:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb3-531:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb3-532:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb5-571:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_r11:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_r13_cb5-312t:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebox_cxi2:-:*:*:*:*:*:*:*|cpe:2.3:h:aopen:chromebase:-:*:commercial:*:*:*:*:*|cpe:2.3:h:aopen:chromebase:-:*:mini:*:*:*:*:*|cpe:2.3:h:aopen:chromebox:-:*:commercial:*:*:*:*:*|cpe:2.3:h:aopen:chromeboxi:-:*:mini:*:*:*:*:*|cpe:2.3:h:asi:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebit_cs10:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c200:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c201pa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c202sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c300:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c300sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c301sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_flip_c100pa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_flip_c302:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebox_cn60:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebox_cn62:-:*:*:*:*:*:*:*|cpe:2.3:h:bobicus:chromebook_11:*:*:*:*:*:*:*:*|cpe:2.3:h:ctl:j2_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:j4_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:j5_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:ctl:n6_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:nl61_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_3120:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_3189:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_model_3180:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_13_3380:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_k:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_m:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_r:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:cmt_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:edxis:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:edxis:education_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:epik:chromebook_elb1101:-:*:*:*:*:*:*:*|cpe:2.3:h:google:pixel:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11_c:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11_g2:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11e:-:*:*:*:*:*:*:*|cpe:2.3:h:hexa:chromebook_pi:-:*:*:*:*:*:*:*|cpe:2.3:h:hisense:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook:-:*:*:*:*:meetings:*:*|cpe:2.3:h:hp:chromebook_11-vxxx:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_1100-1199:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2000-2099:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2100-2199:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2200-2299:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g2:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g3:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g4\/g4_ee:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g5:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g5_ee:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_13_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_ak000-099:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_g3:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_g4:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_x000-x999:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebox_cb1-\(000-099\):-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebox_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:100s_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n20_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n21_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n22_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_flex_11_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_yoga_11_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n42_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkcentre_chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkpad_11e_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkpad_13_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lg:chromebase_22cb25s:-:*:*:*:*:*:*:*|cpe:2.3:h:lg:chromebase_22cv241:-:*:*:*:*:*:*:*|cpe:2.3:h:medion:akoya_s2013:-:*:*:*:*:*:*:*|cpe:2.3:h:medion:chromebook_s2015:-:*:*:*:*:*:*:*|cpe:2.3:h:mercer:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:mercer:v2_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:ncomputing:chromebook_cx100:-:*:*:*:*:*:*:*|cpe:2.3:h:nexian:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:pcmerge:chromebook_pcm-116t-432b:-:*:*:*:*:*:*:*|cpe:2.3:h:poin2:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:poin2:chromebook_14:-:*:*:*:*:*:*:*|cpe:2.3:h:positivo:chromebook_ch1190:-:*:*:*:*:*:*:*|cpe:2.3:h:prowise:entry_line_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:prowise:proline_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:rgs:education_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_11:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_11_xe500c12:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_13:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_3:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_plus:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_pro:-:*:*:*:*:*:*:*|cpe:2.3:h:sector-five:e1_rugged_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:senkatel:c1101_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook_2:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook_2:-:*:2015:*:*:*:*:*|cpe:2.3:h:true:idc_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:true:idc_chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:videonet:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:videonet:chromebook_bl10:-:*:*:*:*:*:*:*|cpe:2.3:h:viglen:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:viglen:chromebook_360:-:*:*:*:*:*:*:*|cpe:2.3:h:xolo:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:a:infineon:rsa_library:*:*:*:*:*:*:*:*,No,High,"CPE identifies Infineon Trusted Platform Module (TPM) firmware — a hardware security chip embedded in PCs, servers, and embedded devices. Not a robot vacuum.",No,,No,High,,No,High,
No,vendor_only,CVE-2025-37742,2025-05-01,"In the Linux kernel, the following vulnerability has been resolved:

jfs: Fix uninit-value access of imap allocated in the diMount() function

syzbot reports that hex_dump_to_buffer is using uninit-value:

=====================================================
BUG: KMSAN: uninit-value in hex_dump_to_buffer+0x888/0x1100 lib/hexdump.c:171
hex_dump_to_buffer+0x888/0x1100 lib/hexdump.c:171
print_hex_dump+0x13d/0x3e0 lib/hexdump.c:276
diFree+0x5ba/0x4350 fs/jfs/jfs_imap.c:876
jfs_evict_inode+0x510/0x550 fs/jfs/inode.c:156
evict+0x723/0xd10 fs/inode.c:796
iput_final fs/inode.c:1946 [inline]
iput+0x97b/0xdb0 fs/inode.c:1972
txUpdateMap+0xf3e/0x1150 fs/jfs/jfs_txnmgr.c:2367
txLazyCommit fs/jfs/jfs_txnmgr.c:2664 [inline]
jfs_lazycommit+0x627/0x11d0 fs/jfs/jfs_txnmgr.c:2733
kthread+0x6b9/0xef0 kernel/kthread.c:464
ret_from_fork+0x6d/0x90 arch/x86/kernel/process.c:148
ret_from_fork_asm+0x1a/0x30 arch/x86/entry/entry_64.S:244

Uninit was created at:
slab_post_alloc_hook mm/slub.c:4121 [inline]
slab_alloc_node mm/slub.c:4164 [inline]
__kmalloc_cache_noprof+0x8e3/0xdf0 mm/slub.c:4320
kmalloc_noprof include/linux/slab.h:901 [inline]
diMount+0x61/0x7f0 fs/jfs/jfs_imap.c:105
jfs_mount+0xa8e/0x11d0 fs/jfs/jfs_mount.c:176
jfs_fill_super+0xa47/0x17c0 fs/jfs/super.c:523
get_tree_bdev_flags+0x6ec/0x910 fs/super.c:1636
get_tree_bdev+0x37/0x50 fs/super.c:1659
jfs_get_tree+0x34/0x40 fs/jfs/super.c:635
vfs_get_tree+0xb1/0x5a0 fs/super.c:1814
do_new_mount+0x71f/0x15e0 fs/namespace.c:3560
path_mount+0x742/0x1f10 fs/namespace.c:3887
do_mount fs/namespace.c:3900 [inline]
__do_sys_mount fs/namespace.c:4111 [inline]
__se_sys_mount+0x71f/0x800 fs/namespace.c:4088
__x64_sys_mount+0xe4/0x150 fs/namespace.c:4088
x64_sys_call+0x39bf/0x3c30 arch/x86/include/generated/asm/syscalls_64.h:166
do_syscall_x64 arch/x86/entry/common.c:52 [inline]
do_syscall_64+0xcd/0x1e0 arch/x86/entry/common.c:83
entry_SYSCALL_64_after_hwframe+0x77/0x7f
=====================================================

The reason is that imap is not properly initialized after memory
allocation. It will cause the snprintf() function to write uninitialized
data into linebuf within hex_dump_to_buffer().

Fix this by using kzalloc instead of kmalloc to clear its content at the
beginning in diMount().",5.5,3.1,CWE-908,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*|cpe:2.3:o:debian:debian_linux:11.0:*:*:*:*:*:*:*,No,High,CPE identifies the Linux kernel. Description confirms a jfs filesystem uninitialized-value access in the kernel. Not a robot vacuum.,Maybe,linux is running on everything,No,High,,No,High,
